time,unburn_carbon,nilai_kalor,co,co2,out_generator,sfc,eco_gas_out_temp,pa_flow,o2,fuel_temp,sa_flow,carbon,hydrogen,nitrogen,sulfur,ash,total_moisture,oxygen,surface_moisture,inherent_moisture
23-May-18,0.529,4082.712779,0,14.75,573.1748408,0.602357707,357.3789456,950.0829238,2.21,58.37133333,1364.185234,44.03592121,2.623115328,0.412729576,0.268815348,5.016153184,34.84328112,12.79998423,13.93731245,20.90596867
28-Jun-18,0.529,4050,0.00125,14.7,602.8268,0.576380587,364.8087369,929.8082638,1.807,59.75777778,1510.549117,42.74,3.07,0.71,0.39,6.41,36.62,10.06,14.648,21.972
21-Jul-18,1.055,4022,0.00125,17.19444444,625.9630116,0.597728584,366.6807383,910.7590531,2.28,59.55277778,1680.298718,43.29,3.12,0.7,0.16,5.97,34.39,12.37,13.756,20.634
09-Aug-18,0.309,4144,0.00125,12.9,624.7648716,0.535446245,367.1172531,1034.30385,2.82,59.55277778,1536.583594,44.15,3.72,0.69,0.37,9.14,31.72,10.21,12.688,19.032
18-Sep-18,0.211,4461.899765,0.00125,12.9,520.4972931,0.564260486,351.3938401,918.7012977,2.94,59.92333333,1324.197718,45.91499715,3.077402391,0.673782324,0.203769537,4.440112803,31.87305563,13.81688017,12.74922225,19.12383338
22-Oct-18,2.927,4289.488245,0.00125,15.85,607.4616946,0.538940585,351.5707526,1054.899033,1.565,59.72138889,1245.741351,44.75753481,3.46688382,0.614357057,0.152115749,4.885628496,33.265,12.85848007,13.306,19.959
22-Nov-18,2.927,4384.1871,0.00125,15.85,501.3718177,0.534110606,351.5835214,935.6990631,1.565,59.476,1124.843607,45.72353189,3.719350313,0.865423209,0.490891265,12.71302058,24.802,11.68578275,9.9208,14.8812
18-Dec-18,0.499,4329.451993,0.00125,15.85,505.0192185,0.5923577,357.2234571,931.9451677,1.565,59.72138889,1306.487668,45.24206088,3.464558988,0.785565139,0.279224472,8.198393307,29.45,12.58019721,11.78,17.67
17-Jan-19,0.642,4212.361503,0.00125,15.85,531.0014446,0.594071221,345.3084297,1017.05843,1.565,59.72138889,1176.067838,44.06995825,3.392426223,0.660880206,0.280609704,7.668492707,32.00666667,11.92096624,12.80266667,19.204
20-Feb-19,0.49,4223.16,0.00125,15.85,495.9390608,0.654641697,343.1916294,984.7112669,1.565,59.72138889,1340.472139,44.06995825,3.392426223,0.660880206,0.280609704,7.668492707,28.04,15.88763291,11.216,16.824
27-May-19,0.49,4183.09,0.009,15.85,498.0587333,0.584352034,255.0654489,801.2105953,1.9,59.72138889,1295.410021,42.36051665,3.103834975,0.653954437,0.149495641,3.945816285,32.77,17.01638201,13.108,19.662
27-Jun-19,0.976,4592.569358,0.00125,15.85,499.169396,0.5334193,353.0629765,849.9245324,1.565,59.72138889,1483.786795,47.28980238,3.806649806,0.744768083,0.361928767,7.240983625,29.175,11.38086734,11.67,17.505
25-Jul-19,3.408,4463.108642,0.00125,15.85,500.0722656,0.538842561,358.7969106,901.6794903,1.565,58.50838889,1420.514263,47.25819826,3.445689784,0.64814947,0.275463525,5.663205998,31.92,10.78929296,12.768,19.152
15-Aug-19,0.654,4578.137136,0.00125,15.85,496.4633414,0.568509962,357.3979074,974.0620328,1.565,61.18986111,1547.08805,47.58441385,3.408709398,0.756730016,0.445242408,8.121597168,28.95,10.73330716,11.58,17.37
04-Sep-19,2.9485,4195.054565,0.00125,15.85,499.6751052,0.632275035,341.8355271,949.7114422,1.565,61.18986111,1650.367253,43.62653183,3.275392292,0.554897036,0.18266614,4.467676735,34.1325,13.76033597,13.653,20.4795
17-Oct-19,0.664,4410.367329,0.00125,12.85,500.8359375,0.608254478,352.8959292,910.0414499,3.705,58.18285714,1417.52124,47.06754896,3.384760565,0.718242818,0.210191889,3.972979852,30.62,14.02627592,12.248,18.372
19-Nov-19,0.118,4136.473491,0.00125,15.2,499.3864934,0.632402419,355.7411906,987.4789006,3.945,55.33952381,1394.757395,44.5055628,3.299041983,0.540390938,0.179266611,4.890807733,33.6,12.98492993,13.44,20.16
17-Dec-19,0.4195,4236.411668,0,13.1,499.5920974,0.614729391,342.4576882,871.896806,4.02,53.7192381,1384.76285,45.18103655,3.3804983,0.615986725,0.1781831,3.881292749,34.08,12.68300258,13.632,20.448
16-Jan-20,0.87,3799.142476,0,13.1,493.9526743,0.634774499,357.069823,1017.552971,4.02,58.09714286,1242.645649,40.88565984,3.002336253,0.570468459,0.19788545,4.40569902,39.24,11.69795098,15.696,23.544
31-Jan-20,1.121,4420.600906,0,12.95,478.9078275,0.52275447,351.2285008,888.5432528,4.05,58.09714286,1269.852635,46.62708187,3.586483363,1.012666667,0.56851462,13.04918713,24.05,11.10606635,9.62,14.43
24-Feb-20,0.664,4467,0.01,14.43,493.9526743,0.634774499,346.3731001,1017.552971,5.15,58.09714286,1242.645649,46.96,3.92,0.85,0.27,3.97,32.28,11.75,12.912,19.368
17-Mar-20,0.378,3993.937391,0.00000001,14.95,521.3873948,0.580995866,361.5327043,839.0939801,3.06,58.09714286,1608.572862,40.07456522,3.284036167,0.72044144,0.535571794,8.97488491,33.37,13.04050047,13.348,20.022
16-Apr-20,1.049,3982.426186,0.00000001,14.8,340.0689603,0.695022006,301.902503,785.4091985,4.55,58.09714286,1279.510843,41.8536173,3.052316204,0.646270806,0.260047842,5.273800556,37.135,11.77894729,14.854,22.281
04-Jun-20,0.499,4002.608435,0.0089,14.43,477.2757662,0.610159173,340.662217,841.4178608,5.15,58.09714286,1494.453043,42.90576923,3.079767318,0.791737401,0.231923077,7.573488064,33.67,11.74731491,13.468,20.202
10-Jul-20,1.049,4319,0,14.8,373.2810246,0.810221711,331.8382842,861.6405992,4.55,58.09714286,1306.895203,45.39,3.34,0.81,0.09,2.72,34.42,13.23,13.768,20.652
16-Jul-20,1.065,4082.939271,0.0089,14.43,492.2401593,0.629222311,351.542608,963.5089065,5.15,58.09714286,1288.165844,42.07232553,3.101444799,0.70158262,0.233860873,7.264774876,32.98,13.6460113,13.192,19.788
20-Jul-20,0.439,4054.402773,0.00000001,14.8,494.5669321,0.628411345,346.029811,978.0568871,4.55,58.09714286,1405.361835,42.02799485,3.092675794,0.54014433,0.103262887,3.121716495,38.36,12.75420565,15.344,23.016
